Codigo;Nome;Turma;Professor;CH_total;Seg;Ter;Qua;Qui;Sex;Sab;Link
SEN00156;ELABORACAO E ANALISE DE PROJETOS;A1;Regis Motta;60;;09:00-11:00;;09:00-11:00;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447814
SEN00195;EXPERIÊNCIAS INDUSTRIAIS COMPARADAS;A1;Matheus Coelho;60;;;;;09:00-13:00;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447821
SEN00103;FINANCAS INTERNACIONAIS;A1;Luis Rossi;60;07:00-09:00;;07:00-09:00;;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447800
STA00162;FINANÇAS PÚBLICAS;P1;Renato Miranda;60;;;;;18:00-22:00;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000440931
SEN00200;FINANÇAS PÚBLICAS NO BRASIL;A1;Victor Araujo;60;11:00-13:00;;11:00-13:00;;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447817
SEN00256;FORMAÇÃO ECONÔMICA DO BRASIL I;A1;Sem professor alocado;60;09:00-11:00;;09:00-11:00;;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447786
SEN00256;FORMAÇÃO ECONÔMICA DO BRASIL I;P1;Matheus Coelho;60;18:00-20:00;;18:00-20:00;;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447946
GGE00138;GEOGRAFIA DA INDUSTRIA;A1;Lethicia Machado;60;;;;;18:00-22:00;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000449124
STA00175;GESTÃO DE PROJETOS;P1;Joao Santos;60;;;;18:00-22:00;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000440953
STA00158;GESTÃO FINANCEIRA;P1;Ivando Faria;60;;18:00-22:00;;;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000440928
SEN00189;GESTÃO FINANCEIRA;P1;Lilian Silva;60;;18:00-20:00;;18:00-20:00;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447965
STA00261;GESTÃO FINANCEIRA DE LONGO PRAZO;P1;Ariel Levy;60;;18:00-22:00;;;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000440941
GHT00313;HISTORIA ECONOMICA GERAL I;H1;Carlos Guimaraes;60;09:00-11:00;;09:00-11:00;;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000449074
GHT00313;HISTORIA ECONOMICA GERAL I;H2;Manoela Pedroza;60;18:00-20:00;;18:00-20:00;;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000449075
STA00128;INTRODUÇÃO A ADMINISTRAÇÃO;C1;Mariana Peixoto;60;;09:00-13:00;;;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000440933
STE00058;INTRODUÇÃO AO EMPREENDEDORISMO;A1;Edison Junior;60;18:00-20:00;;;;;08:00-10:00;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000448352
SEN00245;INTRODUÇÃO À EXTENSÃO UNIVERSITÁRIA;A1;Claude Cohen;60;;09:00-11:00;;;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447755
SEN00245;INTRODUÇÃO À EXTENSÃO UNIVERSITÁRIA;P1;Bianca Bonente;60;;;;;18:00-20:00;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447926
GFL00024;INTRODUÇÃO À FILOSOFIA;B1;Patrick Pessoa;60;;;14:00-18:00;;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000443827
GFL00024;INTRODUÇÃO À FILOSOFIA;D1;Celso Filho;60;;14:00-18:00;;;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000443831
SGE00015;LABORATORIO DE MACROECONOMIA II;AA;Leonardo Muls;30;;;;;11:00-13:00;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447763
SGE00015;LABORATORIO DE MACROECONOMIA II;PP;Luciano Oliveira;30;;;;;20:00-22:00;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447937
SGE00012;LABORATORIO DE MICROECONOMIA I;AA;Ana Ruiz;30;;;;;09:00-11:00;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447760
SGE00012;LABORATORIO DE MICROECONOMIA I;AB;Sem professor alocado;30;;;;;09:00-11:00;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447762
SGE00012;LABORATORIO DE MICROECONOMIA I;PP;Welinton Ferreira;30;;;;;18:00-20:00;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447935
SGE00012;LABORATORIO DE MICROECONOMIA I;PQ;Rosane Mendonca;30;;;;;18:00-20:00;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447936
SGE00013;LABORATORIO DE MICROECONOMIA II;AA;Welinton Ferreira;30;;;;;09:00-11:00;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447776
SGE00013;LABORATORIO DE MICROECONOMIA II;PP;Marcos Lyra;30;;;;;18:00-20:00;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447940
SGE00014;LABORATORIO DE MICROECONOMIA III;AA;Niagara Silva;30;;;;;09:00-11:00;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447787
SGE00014;LABORATORIO DE MICROECONOMIA III;PP;Sem professor alocado;30;;;;;18:00-20:00;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447944
SGE00026;LABORATÓRIO DE MACROECONOMIA I;AA;Lucilene Morandi;30;;;;;11:00-13:00;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447754
SGE00026;LABORATÓRIO DE MACROECONOMIA I;PP;Leon Esquierro;30;;;;;20:00-22:00;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447924
